Question,Answer  (Use || as a seperator),Field Type,Other (Questions having the other option text)
Reason for Assessment: (mark all that apply),"Physician/Doctor required assessment||
Self referred||
Public Intoxication charge||
Disorderly Conduct charge||
Domestic Violence charge||
Underage Drinking charge||
Alcohol: Minor in Possession/ Underage Possession charge||
Probation violation/ or probation officer requested||Other reason (specify)",checkbox,Other reason (specify)
Your primary occupation (include paid or unpaid occupations),,textarea,
Hours per week (average) you are engaged in this occupation,"0-5||5-10||10-20||20-30||
30-40||40-50||50-60||60-80||80 +",radiobutton,
Height,5||6||7||8,dropdown,
Weight,55||56||57||58||59||60||65||70||75,dropdown,
Current Prescription Medication Usage,none||blood pressure||anti- anxiety||anti-depressant||other (Please list any other types or names of medication),radiobutton,other (Please list any other types or names of medication)
Heart condition in the last 24 months,Yes||No,radiobutton,
Broken bones in last 24 months,Yes||No,radiobutton,
Gastro-intestinal symptoms or diagnosis in last 24 months,Yes||No,radiobutton,
Liver condition in last 24 months,Yes||No,radiobutton,
Emergency room visits in last 24 months,Yes||No,radiobutton,
Pancreas condition in the last 24 months,Yes||No,radiobutton,
Pregnancy currently,Yes||No||Male-NA,radiobutton,
Pregnancy within the last year,Yes||No||Male-NA,radiobutton,
Reason for Assessment: (mark all that apply),"Physician/Doctor required assessment||
Self referred||
Public Intoxication charge||
Disorderly Conduct charge||
Domestic Violence charge||
Underage Drinking charge||
Alcohol: Minor in Possession/ Underage Possession charge||
Probation violation/ or probation officer requested||Other reason (specify)",checkbox,Other reason (specify)
Your primary occupation (include paid or unpaid occupations),,textarea,
Hours per week (average) you are engaged in this occupation,"0-5||5-10||10-20||20-30||
30-40||40-50||50-60||60-80||80 +",radiobutton,
Height,5||6||7||8,dropdown,
Weight,55||56||57||58||59||60||65||70||75,dropdown,
Current Prescription Medication Usage,none||blood pressure||anti- anxiety||anti-depressant||other (Please list any other types or names of medication),radiobutton,other (Please list any other types or names of medication)
Heart condition in the last 24 months,Yes||No,radiobutton,
Broken bones in last 24 months,Yes||No,radiobutton,
Gastro-intestinal symptoms or diagnosis in last 24 months,Yes||No,radiobutton,
Liver condition in last 24 months,Yes||No,radiobutton,
Emergency room visits in last 24 months,Yes||No,radiobutton,
Pancreas condition in the last 24 months,Yes||No,radiobutton,
Pregnancy currently,Yes||No||Male-NA,radiobutton,
Pregnancy within the last year,Yes||No||Male-NA,radiobutton,
Reason for Assessment: (mark all that apply),"Physician/Doctor required assessment||
Self referred||
Public Intoxication charge||
Disorderly Conduct charge||
Domestic Violence charge||
Underage Drinking charge||
Alcohol: Minor in Possession/ Underage Possession charge||
Probation violation/ or probation officer requested||Other reason (specify)",checkbox,Other reason (specify)
Your primary occupation (include paid or unpaid occupations),,textarea,
Hours per week (average) you are engaged in this occupation,"0-5||5-10||10-20||20-30||
30-40||40-50||50-60||60-80||80 +",radiobutton,
Height,5||6||7||8,dropdown,
Weight,55||56||57||58||59||60||65||70||75,dropdown,
Current Prescription Medication Usage,none||blood pressure||anti- anxiety||anti-depressant||other (Please list any other types or names of medication),radiobutton,other (Please list any other types or names of medication)
Heart condition in the last 24 months,Yes||No,radiobutton,
Broken bones in last 24 months,Yes||No,radiobutton,
Gastro-intestinal symptoms or diagnosis in last 24 months,Yes||No,radiobutton,
Liver condition in last 24 months,Yes||No,radiobutton,
Emergency room visits in last 24 months,Yes||No,radiobutton,
Pancreas condition in the last 24 months,Yes||No,radiobutton,
Pregnancy currently,Yes||No||Male-NA,radiobutton,
Pregnancy within the last year,Yes||No||Male-NA,radiobutton,
