Question,Answer  (Use || as a separator),Field Type,Other (Questions having the other option text)
Reason for this assessment:,,textarea,
"Month and year of legal charge, work, school or other incident that lead to assessment request (or ""no incident"" involved)",,textarea,
County where violation occurred or enter NA,,textarea,
"If court related, briefly explain what stage of the court process your case is at or NA",,textarea,
If assessment is for court please indicate the next date expected for a court hearing (NA if not court related),,textarea,
Your primary occupation (include paid or unpaid occupations),,textarea,
Hours per week (average) you are engaged in this occupation,"0-5||5-10||10-20||20-30||
30-40||40-50||50-60||60-80||80 +",radiobutton,
Current prescription medication use (mark all that apply),none||blood pressure||anti- anxiety||anti-depressant||other (Please list any other types or names of medication),checkbox,other (Please list any other types or names of medication)
Select any conditions that have applied to you in the last 24 months (mark all that apply),heart condition||stomach problems||liver condition||emergency room visits||pregnancy||none of these,checkbox,
Current body weight,75-100||100-125||125-150||150-175||175-200||200-225||225-250||250-275||275-300||300+,dropdown,
Currently pregnant or within the last 24 months,Yes||No,radiobutton,
Select any anxiety related symptoms you have experienced on 3 occasions or more within the last 3 months (mark all that apply),"insomnia||rapid heart beat||racing thoughts||spontaneous sweating||panic attacks||unusual worrying||calming yourself down with alcohol, medicine or another drug||chest pain||dizziness||no symptoms from this list present in the last 3 months",checkbox,
Select any symptoms related to sadness or depression you have experienced in the last 3 months (mark all that apply),"unusual crying||feeling hopeless||low energy||desire to sleep too much||low self esteem||difficulty concentrating or staying focused||problems in close relationships||parenting problems||loss of motivation||increase of conflict at work, home or school||difficulty controlling anger||weight gain or weight loss||low appetite or excessive appetite||excess use of alcohol, medicine or another drug||thoughts of hurting yourself||suicidal thoughts||no symptoms from this list present in the last 3 months",checkbox,
"At what age did you first experiment with alcohol for the purpose of feeling a physical effect or ""buzz"" ?",,textarea,
"At what age did you first experience getting drunk, if ever ? ",,textarea,
"Indicate any blood relatives who you believe have or had, an alcohol or substance abuse problem (mark all that apply)",grandparent(s)||father||mother||aunt(s)||uncle(s)||sibling(s)||your own child/children||none,checkbox,
"In the 24 months before the incident leading to this assessment, how many days per week were you typically consuming one or more alcoholic beverages?",0-1||1-2||2-3||3-4||4-5||5-6||6-7||did not use alcohol,radiobutton,
What has your preferred alcoholic beverage(s) been for the last 2 years? (mark all that apply),Beer||Wine||Mixed drink||Unmixed liquor or liquor on ice||Desert Liqueur||Do not have a preferred alcoholic beverage||Have not drank alcohol in the last 2 years,checkbox,
"In typical situations where you drink alcohol, how many drinks do you usually consume ?",1-2||2-3||2-4||3-5||4-6||5-7||6-8||7-9||8-10||10 or more||do not drink alcohol,radiobutton,
"About how many times per month (or year) do you attend a special event (e.g. concert, holiday event) or celebration (e.g. birthday or wedding)where you would consume more drinks than your norm or what is typical? ",,textarea,
At a special event or celebration what is the maximum number of drinks you would typically consume ?,1-2||2-3||2-4||3-5||4-6||5-7||6-8||7-9||8-10||10-12||12-14||14 or more||do not drink alcohol,radiobutton,
"Have you received any assessment, education or treatment for any substance abuse or dependence in the past? (mark all that apply)","Previous alcohol assessment||Education||Counseling||Intensive Outpatient Program||Inpatient Treatment||Residential Treatment||Have never received assessment, education or treatment of any kind",checkbox,
"Are you required or has your attorney recommended that you complete some alcohol education, counseling,  victim impact panel,  AA, or similar program regardless of the outcome of this assessment?  If yes, please note what program and how many hours are/were required to complete it. ",,textarea,
"If you were offered a breathalyzer, blood, or urine test to measure your blood alcohol concentration (BAC) what range was the official or final BAC result of your test ?",,textarea,
If you?were arrested?does the officer's incident or arrest report portray you as,cooperative||uncooperative||very impaired||belligerent||respectful||don't know what my report portrays||officer did not make a report||no arrest involved,checkbox,
"Since the incident leading to this assessment, has your alcohol use",remained the same||decreased||increased||have stopped drinking completely,radiobutton,
