Question,Answer  (Use || as a seperator),Field Type,Other (Questions having the other option text)
Your primary occupation (include paid or unpaid occupations)  ,,textarea,
Hours per week (average) you are engaged in this occupation ,0-5||5-10||10-20||20-30||30-40||40-50||50-60||60-80||80 +  ,radiobutton,
Height,5||6||7,dropdown,
Weight ,50||55||60||65||70,dropdown,
Current Prescription Medication Usage,none||blood pressure||anti- anxiety||anti-depressant||other  (Please list any other types or names of medication),radiobutton,other (Please list any other types or names of medication)
Heart condition in the last 24 months,Yes||No,radiobutton,
Broken bones in last 24 months,Yes||No,,
Gastro-intestinal symptoms or diagnosis in last 24 months ,Yes||No,,
Liver condition in last 24 months   ,Yes||No,,
Emergency room visits in last 24 months ,Yes||No,,
Pancreas condition in the last 24  months  ,Yes||No,,
Pregnancy  currently,Yes||No||male ? NA,,
Pregnancy within the last year ,Yes||No||male ? NA,,
Select any symptoms you have experienced on 3 occasions or more within the last 3months,"panic feelings or  panic attacks||rapid heartbeat||shortness of breath||excessive sweating||chest pain||dizziness||stomach or intestinal problems||
feeling the urge to check things/ repeat things||poor mood||low energy||insomnia||desire to sleep too much||low self esteem||
excessive crying||weight gain or weight loss||ow appetite or excessive appetite||excess use of alcohol, medicine or another drug||
loss of pleasure||loss of motivation||frequently thinking about dying or killing myself||feelings of hopelessness||difficulty controlling anger||
difficulty concentrating or staying focused||problems in close relationships||parenting problems||increase of conflict at work, home or school||
emotional or mental health diagnosis in the past year||no symptoms from this list present in the last 3 months",checkbox,
At what age did you first experiment with alcohol for the purpose of feeling a  physical effect or ?buzz?,1||2||3||4||5||6||7||8||9||10||NA,dropdown,
"At what age did you first experience getting drunk, if ever",10||11||12||13||14||15||16||17||18||19||20||21||22||23||24||25||26||27||28||29||30||NA,dropdown,
"At what age did you begin using alcohol on any kind of a regular basis, even if it  was as infrequent as once a week
",10||11||12||13||14||15||16||17||18||19||20||21||22||23||24||25||26||27||28||29||30||NA,dropdown,
"Indicate any blood relatives who you believe have or had, an alcohol or substance abuse problem (mark all that  apply) 
",grandparent(s)||father||mother||aunt(s)||uncle(s)||sibling (s)||your own child/children||none ,checkbox,
"In the 24 months before the incident leading to this assessment, how many days  per week  were you typically consuming one or more alcoholic beverages
",0-1||1-2||2-3||3-4||4-5||5-6||6-7||did not use alcohol  ,checkbox,
